x,y,z,yaw,velocity,change_flag
-9.3633,2.5063,-0.9501,-1.5877,1.0,0
-9.3806,1.4948,-1.0692,-1.5944,1.5,0
-9.2861,0.4939,-1.0433,-1.1111,2.0,0
-8.5012,-0.1259,-1.1994,-0.4030,2.0,0
-7.4957,-0.3050,-1.0612,0.0189,2.0,0
-6.4797,-0.2636,-1.0225,0.0931,2.0,0
-5.4694,-0.1150,-0.9536,0.1295,2.0,0
-4.4612,-0.0039,-0.9581,0.1370,2.0,0
-3.5750,0.1961,-0.9288,0.1097,2.0,0
-2.5712,0.3014,-0.9032,0.0651,2.0,0
-1.6096,0.4009,-0.9729,0.0526,2.0,0
-0.7987,0.4491,-1.0079,-0.0268,2.0,0
0.0073,0.1563,-0.8898,-0.6315,1.5,0
0.8116,-0.3839,-0.8781,-0.0772,1.0,0
1.9116,-0.3839,-0.8781,0,1.0,0
